order_id,order_date,seller,title,specification,item_url,item_id,unit_price,quantity,item_total,paid,lieferkosten
"	2950548049244739241,""2022-10-14"",""晴天餐料行"",""2022-10-14订单号: 2950548049244739241	晴天餐料行		   意式贝贝罗尼萨拉米肠粗整根约800g即食辣味萨拉米salami香肠"","""","""",""2950548049244739241"",""88.00"",""1"",""88.00"",""88.00"",""0.00"""
"	2950548049245739241,""2022-10-14"",""广州市哈比百进口连锁店1号站HALAL FOOD"",""2022-10-14订单号: 2950548049245739241	广州市哈比百进口连锁店1号站HALAL FOOD		   马苏里拉碎芝士Pizza Cheese 披萨奶酪烘培芝士 随机发送其他牌子  口味：400"","""","""",""2950548049245739241"",""35.00"",""1"",""35.00"",""39.60"",""4.60"""
"	2950548049246739241,""2022-10-14"",""上海欧意西餐"",""2022-10-14订单号: 2950548049246739241	上海欧意西餐		   摩拉维亚干酪200g 巴马臣奶酪 帕玛臣帕马森芝士parmesan cheese"","""","""",""2950548049246739241"",""26.00"",""1"",""26.00"",""26.00"",""0.00"""
"	2950548049247739241,""2022-10-14"",""Silver Palate Groceries味源进口杂货店"",""2022-10-14订单号: 2950548049247739241	Silver Palate Groceries味源进口杂货店		   Castello Danish Blue Cheese丹麦安拉三角形蓝波干酪芝士100g  口味：ExtraCreamyBlue重奶油蓝波奶酪"","""","""",""2950548049247739241"",""39.90"",""1"",""39.90"",""62.90"",""23.00"""
"	2950548049248739241,""2022-10-14"",""tb082038761"",""2022-10-14订单号: 2950548049248739241	tb082038761		   Wooden Handle Silicone Rolling Pin木柄硅胶滚轴擀面棍杖大中小  颜色分类：大号颜色随机/L* Color random"","""","""",""2950548049248739241"",""21.25"",""1"",""21.25"",""31.25"",""10.00"""
"	2950548049249739241,""2022-10-14"",""sdwerq857857的小店"",""2022-10-14订单号: 2950548049249739241	sdwerq857857的小店		   Stainless Steel Dinosaur Cutter Mold Biscuit Cookie Form"","""","""",""2950548049249739241"",""29.40"",""1"",""29.40"",""36.40"",""7.00"""
"	2950548049250739241,""2022-10-14"",""cirio茄意欧旗舰店"",""2022-10-14订单号: 2950548049250739241	cirio茄意欧旗舰店		   CIRIO茄意欧意大利进口优选浓缩番茄膏130gx3 茄汁焗饭番茄牛腩"","""","""",""2950548049250739241"",""34.90"",""2"",""69.80"",""69.80"",""0.00"""
"	2950548049251739241,""2022-10-14"",""gxqnmx7458的小店"",""2022-10-14订单号: 2950548049251739241	gxqnmx7458的小店		   Manual Nut Grinder Multifunctional Dried Fruit Crusher  颜色分类：WHITE"","""","""",""2950548049251739241"",""108.50"",""1"",""108.50"",""116.50"",""8.00"""
"	2950548049252739241,""2022-10-14"",""欧美嘉食品商行"",""2022-10-14订单号: 2950548049252739241	欧美嘉食品商行		   辣味杰克芝士夹三文治即食辣椒奶酪烤焗起司块pepper jack cheese  口味：1kg"","""","""",""2950548049252739241"",""100.00"",""1"",""100.00"",""110.00"",""27.00"""
"	2950548049252739241,""2022-10-14"",""欧美嘉食品商行"",""申请售后  投诉卖家"","""","""","""",""27.00"","""","""","""","""""
