Beschreibung,Artikelnummer,Kaufdatum,Color classification,Verkäufer,Einzelpreis,Stückzahl,Gesamtpreis
Emergency Stop Start Stop PVC Sticker Machine Label Arrow Switch,4737989377785739241,2025-09-05,(PVC Film) English Red (Buy 1 Get 10 Pieces),Taobao Marketplace Vendor,¥1.86,5,¥9.31
CU-4-VCR-2 Copper 1/4in VCR Copper Flat Gasket Unsupported 1/2 Swagelok Universal 3/8 PTFE,4715245945156739241,2025-09-02,1/4 VCR (Copper),Vacuum Components Store,¥0.10,50,¥5.00
316L Stainless Steel Gasket 1/4 1/2 3/4 VCR Nickel Plated Flat Gasket with Claw Ultra High Purity Fitting Silver Plated,4715242813737739241,2025-09-02,1/4 Stainless Steel Gasket with Claws (EP),Stainless Steel Specialist,¥0.30,20,¥6.00
316L Stainless Steel Gasket 1/4 1/2 3/4 VCR Nickel Plated Flat Gasket with Claw Ultra High Purity Fitting Silver Plated,4715242813738739241,2025-09-02,1/4 Stainless Steel Flat Gasket (EP),Stainless Steel Specialist,¥0.07,50,¥3.50
Shanghai Mobile Phone Top-up 100 Yuan Fast Charge Direct 24 Hours Auto Top-up Quick Account,4701640500131739241,2025-08-25,—,Shanghai Mobile Official,¥100.00,1,¥100.00
Children Outdoor Sports Rafting Shoes Beach Shoes Men Women Quick Dry Water Shoes Barefoot Diving Swimming Creek Shoes,4697169230237739241,2025-08-22,Black,Taobao Marketplace Vendor,¥48.00,1,¥48.00
National Standard PTFE High Temperature Wire 0.3 0.5 0.75 1.0 1.5 2.5 4 6 Square Tinned Single Core Retail,4697169230238739241,2025-08-22,Red,PTFE Cable Solutions,¥11.00,2,¥22.00
2 Core 3 Core 4 Core PTFE Shielded High Temperature Cable Shielded Signal Wire AFPF Fluoroplastic Shielded Wire Oil Resistant,4697237989489739241,2025-08-22,National Standard 4*0.75 Square,PTFE Cable Solutions,¥0.99,10,¥9.90
2 Core 3 Core 4 Core PTFE Shielded High Temperature Cable Shielded Signal Wire AFPF Fluoroplastic Shielded Wire Oil Resistant,4697237989490739241,2025-08-22,National Standard 4*0.5 Square,PTFE Cable Solutions,¥0.87,10,¥8.66
2 Core 3 Core 4 Core PTFE Shielded High Temperature Cable Shielded Signal Wire AFPF Fluoroplastic Shielded Wire Oil Resistant,4697237989491739241,2025-08-22,National Standard 4*1 Square,PTFE Cable Solutions,¥1.11,10,¥11.14
